id;calories;proteins;fat;carbohydrate;name
1;287;31;15.7;1.7;ayam bakar
2;275;37.4;12.2;1.3;ayam goreng
3;76;4.1;2.5;9.2;bakso
4;97;5.8;6.3;4.2;capcay
5;300;4;15;30;donat
6;416;46.9;23.9;0;ikan goreng
7;144;17.5;6.3;4.3;ikan bakar
8;350;3.5;15;40;kentang goreng
9;86;1.7;0.1;20;kentang rebus
10;178;2.1;0.1;40.6;nasi
11;153;5;4;25;puding
12;193;22.6;7.9;7.8;rendang
13;248;8;1.2;50;roti tawar
14;274;12.9;18.6;13.6;sate
15;27;1.3;2;1;sop
16;115;9.7;8.5;2.5;tahu goreng
17;383;15.1;32.9;8.3;telur ceplok
18;251;16.3;19.4;1.4;telur dadar
19;162;12.8;11.5;0.7;telur rebus
20;328;18.4;23.2;12.8;tempe goreng
21;52;1.8;3.6;3;tumis kangkung
